id_contrato,probabilidade
C03100,0.9948039880652434
C00522,0.9935475758319982
C00234,0.9907986065872993
C02403,0.9869361054274725
C00326,0.9868913869782705
C00889,0.9863273927072064
C00976,0.9856234607786435
C02133,0.9854426081932457
C02346,0.982828305423788
C02021,0.9818961137810188
C01690,0.9764445749558331
C01230,0.9755080880895306
C02553,0.9681761017195468
C00867,0.9673408865641049
C01498,0.9653390782861252
C03373,0.9639210079019054
C02291,0.9634706646845945
C00471,0.9604230305822817
C00696,0.9580785901259286
C01172,0.9578358279455514
C01777,0.952921863091624
C02173,0.9525372331305826
C00018,0.9479941653638755
C01243,0.9451774801577113
C01195,0.9400224296330263
C01930,0.9397445505540444
C03139,0.928971161733134
C00555,0.9270961116862496
C00429,0.9269302787208041
C01898,0.9252661960109281
C00891,0.9185650380401775
C02976,0.915292708674231
C03389,0.9081398765257822
C01819,0.9077721154083103
C02247,0.9065304239004979
C00379,0.9057079324612572
C02524,0.9045559483264409
C03033,0.9044277985192032
C01589,0.903302067708971
C00847,0.9032314146710697
C01228,0.9027266703429562
C02659,0.9024895484772225
C02612,0.9022025005741028
C02924,0.8979205017306355
C02658,0.8978166898462756
C03031,0.8946681174376133
C02416,0.8929683834455903
C00300,0.8910781683912361
C02760,0.8906703717280482
C01636,0.8905267283037264
C00053,0.8897687300430781
C00048,0.8895246440934036
C01512,0.8879837439935252
C01017,0.8813127893347817
C00986,0.8798853446885934
C03248,0.8787601730001687
C03276,0.876008900147362
C01164,0.8758865022951253
C01214,0.8748118423518908
C03245,0.8725470479216165
C00926,0.8691615736360915
C00831,0.8684252951516701
C02923,0.8681211596516021
C00245,0.8680213504226424
C02690,0.8679010248049522
C00675,0.8668556573708499
C01852,0.8661357676761958
C01031,0.8656047263580743
C00875,0.86422198503759
C01922,0.8632449183125502
C02501,0.8623041434209093
C02127,0.8589586040962737
C03064,0.8568604320918193
C02906,0.8537698338591199
C00489,0.8529025209983189
C00863,0.8508953946653951
C02289,0.8504385437789344
C00676,0.8504377876424207
C02109,0.8498015312875883
C00722,0.8489075394477589
